lemma_slp1	n_ambiguous_forms	sample
UrjA	1	dcs:UrjAm~Urj(NOUN,6)
Urjay	2	dcs:UrjitaM~Urjita(ADJ,1);dcs:Urjitam~Urjita(ADJ,8)
UrmyA	1	vidyut:UrmyAsu~Urmya(noun,1)
Uza	1	dcs:Uza~vas(VERB,1)
Uzara	2	dcs:Uzara~Uzara(ADJ,1);dcs:Uzare~Uzara(ADJ,3)
a	4	vidyut:ayos~A(noun,6);vidyut:ayos~e(noun,4);vidyut:ayos~eman(noun,2);vidyut:ayos~oman(noun,2)
aBAvayat	2	vidyut:aBAvayat~BAvi(verb,5);vidyut:aBAvayat~BU(verb,1)
aBIkzRam	2	dcs:aBIkzRaM~aBIkzRa(ADJ,14);dcs:aBIkzRam~aBIkzRa(ADJ,16)
aBIta	1	dcs:aBIta~aBI(VERB,1)
aBIvarta	2	dcs:aBIvartaH~aBIvarta(ADJ,2);dcs:aBIvartena~aBIvarta(NOUN,4)
aBIz	1	dcs:aBIzwa~aBIzwa(NOUN,6)
aBUta	3	dcs:aBUta~BU(VERB,6);dcs:aBUtaM~BU(VERB,1);dcs:aBUtam~BU(VERB,1)
aBadra	1	dcs:aBadram~aBadra(NOUN,1)
aBakta	2	dcs:aBakta~Baj(VERB,3);dcs:aBaktam~aBakta(ADJ,1)
aBayA	3	dcs:aBayA~aBaya(ADJ,3);dcs:aBayAM~aBaya(ADJ,1);dcs:aBayAnAm~aBaya(ADJ,2)
aBaya	5	dcs:aBayAni~aBaya(ADJ,2);dcs:aBaya~aBaya(ADJ,1);dcs:aBayaM~aBaya(ADJ,15);dcs:aBayam~aBaya(ADJ,24);dcs:aBaye~aBaya(ADJ,8)
aBeda	1	dcs:aBedam~aBeda(ADJ,5)
aBedya	1	dcs:aBedyam~aBedya(NOUN,3)
aBi	2	dcs:Bi~B(NOUN,1);dcs:aBi~aBi(NOUN,9)
aBiBA	1	vidyut:aBiBAta~aBiBA(verb,1)
aBiBAvi	8	vidyut:aBiBAva~aBiBA(noun,6);vidyut:aBiBAva~aByas(noun,2);vidyut:aBiBAva~aBiBA(verb,1);vidyut:aBiBAvya~aByas(noun,2);vidyut:aBiBAvya~aBiBU(noun,2)
aBiBU	2	dcs:aBiBUta~aBiBUti(ADJ,3);vidyut:aBiBu~aBiBu(noun,3)
aBiBUti	3	dcs:aBiBUti~aBiBUti(NOUN,6);dcs:aBiBUtiH~aBiBUti(ADJ,2);dcs:aBiBUtim~aBiBUti(NOUN,1)
aBiBava	2	dcs:aBiBava~aBiBava(ADJ,1);dcs:aBiBavaH~aBiBava(ADJ,1)
aBiBu	2	vidyut:aBiBU~aByas(noun,3);vidyut:aBiBU~aBiBU(noun,3)
aBiDA	3	dcs:aBiDeyam~aBiDeya(NOUN,2);vidyut:aBiDAni~aBiDAnI(noun,5);vidyut:aBiDattam~aBidADA(verb,1)
aBiDAv	1	vidyut:aBiDAvam~aBiDAvi(noun,12)
aBiDeya	1	dcs:aBiDeya~aBiDA(VERB,5)
aBiIpsa	1	vidyut:aBIpsu~aBiIpsi(noun,3)
aBiSaMs	1	dcs:aBiSastA~aBiSastf(ADJ,1)
aBiSas	1	vidyut:aBiSas~aBiSaMs(noun,3)
aBicakz	1	vidyut:aBicakzyA~aBicakzi(noun,1)
aBicar	1	vidyut:aBicArin~aBicAri(noun,2)
aBigF	1	vidyut:aBigfRanti~aBigF(verb,1)
aBigam	1	dcs:aBigantA~aBigantf(NOUN,2)
aBihan	1	vidyut:aBihatas~aBihan(verb,1)
aBihrut	1	vidyut:aBihruti~aBihruti(noun,3)
aBii	1	vidyut:aBItavat~aBItavat(ind,1)
aBijYA	1	dcs:aBijYA~aBijYa(ADJ,5)
aBijan	2	dcs:aBijAta~aBijAta(ADJ,1);dcs:aBijAtaH~aBijAta(ADJ,2)
aBijit	1	dcs:aBijit~aBijit(ADJ,2)
aBikANkz	3	vidyut:aBikANkzaRa~aBikANkzi(noun,2);vidyut:aBikANkzin~aBikANkzi(noun,2);vidyut:aBikANkzita~aBikANkzi(noun,2)
aBikAma	1	dcs:aBikAmasya~aBikAma(NOUN,1)
aBilaz	1	dcs:aBilazitam~aBilazita(NOUN,3)
aBilazita	1	dcs:aBilazitaM~aBilaz(VERB,1)
aBimAnin	1	dcs:aBimAnI~aBimAnin(NOUN,3)
aBimAti	2	dcs:aBimAti~aBimAti(ADJ,1);dcs:aBimAtim~aBimAti(ADJ,4)
aBiman	2	dcs:aBimatam~aBimata(NOUN,4);dcs:aBimate~aBimata(NOUN,1)
aBimardana	1	dcs:aBimardanam~aBimardana(NOUN,1)
aBinAdi	1	vidyut:aBinAditA~aBinAdi(noun,1)
aBinI	1	vidyut:aBinIyamAna~aBinii(noun,2)
aBinad	1	vidyut:aBinAdin~aBinAdi(noun,2)
aBinand	1	vidyut:aBinandin~aBinandi(noun,2)
aBinandA	1	dcs:aBinandA~aBinanda(NOUN,1)
aBiniviS	1	vidyut:aBiniveSin~aBiniveSi(noun,2)
aBinizpat	1	vidyut:aBinizpad~aBinizpad(noun,7)
aBinyubji	2	vidyut:aBinyubja~aBinyubj(noun,4);vidyut:aBinyubja~aBinyubj(verb,1)
aBipA	1	dcs:aBipAti~aBipAtin(ADJ,1)
aBipad	2	vidyut:aBipad~aBipat(noun,7);vidyut:aBipat~aBipat(noun,7)
aBipat	1	vidyut:aBipAtin~aBipAti(noun,2)
aBipraan	2	vidyut:aBiprARita~aBipraan(verb,2);vidyut:aBiprARita~aBipraARi(noun,2)
aBipramfz	1	vidyut:aBipramarzaRa~aBipramarzi(noun,4)
aBiprayA	2	vidyut:aBiprayAtA~aBiprayA(verb,2);vidyut:aBiprayAta~aBiprayA(verb,1)
aBipre	2	dcs:aBipreta~aBipreta(ADJ,1);dcs:aBipretaH~aBipreta(ADJ,1)
aBirAD	1	vidyut:aBirADana~aBirADi(noun,2)
aBirakz	2	dcs:aBirakzitA~aBirakzitf(ADJ,1);vidyut:aBirakzi~aBirakzi(noun,9)
aBiruc	1	dcs:aBirucita~aBirucita(ADJ,1)
aBisaMBU	1	vidyut:aBisamBavanti~aBisaMBU(verb,1)
aBisaMDA	2	dcs:aBisaMDAya~aBisaMDA(NOUN,1);vidyut:aBisanDAya~aBisaMDA(ind,1)
aBisaMbanD	4	vidyut:aBisaMbanDAt~aBisaMbanDi(noun,8);vidyut:aBisaMbanDa~aBisaMbanDi(noun,8);vidyut:aBisaMbanDya~aBisaMbanDi(noun,2);vidyut:aBisaMbanDya~aBisaMbanDi(ind,1)
aBisaMcar	1	vidyut:aBisaMcaranti~aBisaMcar(verb,1)
aBisaMgAmi	2	vidyut:aBisaNgamya~aBisaMgam(noun,2);vidyut:aBisaNgamya~aBisaMgam(ind,1)
aBisaMpat	2	vidyut:aBisaMpad~aBisaMpad(noun,7);vidyut:aBisampatanti~aBisaMpat(verb,1)
aBisac	1	vidyut:aBisacatAm~aBisac(verb,2)
aBisf	3	vidyut:aBiDAvAmi~aBiDAv(verb,1);vidyut:aBiDAvantam~aBiDAv(noun,1);vidyut:aBiDAvat~aBiDAv(noun,3)
aBitarj	1	vidyut:aBitarjita~aBitarji(noun,2)
aBivAdi	10	vidyut:aBivAd~aBivA(noun,9);vidyut:aBivAd~aBivad(noun,7);vidyut:aBivAdanIya~aBivad(noun,2);vidyut:aBivAdayAmAsa~aBivad(verb,3);vidyut:aBivAdayamAna~aBivad(noun,4)
aBivAvaSya	1	vidyut:aBivAvaSe~aBivAvaS(noun,39)
aBivad	3	dcs:aByudyate~aByudyam(VERB,1);vidyut:aBivAdyas~aBivAdi(noun,2);vidyut:aBivadate~aBivad(verb,2)
aBivarDi	1	vidyut:aBivart~aBivarti(noun,7)
aBivarza	1	dcs:aBivarza~aBivfz(VERB,1)
aBivf	2	dcs:aBIvftA~aBIvfta(ADJ,1);vidyut:aBivfta~aBivft(noun,2)
aBivfz	2	vidyut:aBivarziRIm~aBivarzi(noun,1);vidyut:aBivfzya~aBivfz(ind,1)
aBiviIkz	1	vidyut:aBivIkzyamARa~aBiviIkzi(noun,2)
aBivirAj	2	dcs:aBivirAjitam~aBivirAjita(ADJ,1);vidyut:aBivirAjita~aBivirAji(noun,2)
aBivyAhf	1	vidyut:aBivyAharatAm~aBivyAhf(noun,2)
aBiyA	3	dcs:aBiyAtA~aBiyAtf(NOUN,1);vidyut:aBiyA~aBiyAvi(noun,6);vidyut:aBiyAta~aBiyA(verb,1)
aBiyAc	1	vidyut:aBiyAcati~aBiyAc(verb,2)
aBiyaj	1	vidyut:aBiyajati~aBiyaj(verb,1)
aBizecay	1	dcs:aBizecayitA~aBizecayitf(ADJ,1)
aBizic	1	vidyut:aBizekzyate~aBizic(verb,2)
aBizu	1	dcs:aBizUya~aBizU(VERB,1)
aBizwi	1	dcs:aBizwi~aBizwi(ADJ,1)
aBizyat	2	vidyut:aBizyad~aBizo(noun,3);vidyut:aBizyad~aBizyand(noun,3)
aBri	1	dcs:aBriyA~aBriya(ADJ,1)
aByAgam	3	dcs:aByAgata~aByAgata(NOUN,3);dcs:aByAgataH~aByAgata(NOUN,1);vidyut:aByAgAma~aBye(verb,1)
aByAhan	1	vidyut:aByAhatas~aByAhan(verb,1)
aByAsa	1	dcs:aByAsam~aByas(VERB,1)
aByAsi	2	vidyut:aByAsin~aByAs(noun,2);vidyut:aByAsin~aByas(noun,2)
aByAyam	1	vidyut:aByAyatI~aBye(noun,4)
aByantara	2	dcs:aByantara~aByantara(NOUN,13);dcs:aByantaram~aByantara(NOUN,19)
aByarc	1	vidyut:aByarcanIya~aByarci(noun,4)
aByarzi	2	vidyut:aByarzA~aByfz(noun,3);vidyut:aByarza~aByfz(noun,6)
aByas	1	vidyut:aBisanti~aByas(verb,1)
aByavahArya	1	dcs:aByavahArya~aByavahf(VERB,2)
aByavapat	2	vidyut:aByavapad~aByavapad(noun,7);vidyut:aByavapad~aBivap(verb,1)
aByuccar	1	vidyut:aByuccaranti~aByuccar(verb,1)
aByujjIv	1	vidyut:aByujjIvati~aByujjIv(verb,1)
aByupagAmi	1	vidyut:aByupagamyam~aByupagam(noun,3)
aByupagam	1	vidyut:aByupagacCatAm~aByupagam(verb,1)
aDIti	1	dcs:DIty~DIti(NOUN,1)
aDa	2	dcs:Da~aDas(ADV,3);dcs:aDA~DA(VERB,1)
aDaHSayyA	1	dcs:aDaHSayyA~aDaHSayya(ADJ,2)
aDaHSirA	1	dcs:aDaHSirA~aDaHSiras(ADJ,2)
aDaHSiras	1	dcs:aDaHSirAH~aDaHSiras(NOUN,2)
aDama	2	dcs:aDamaH~Dam(VERB,2);dcs:aDamo~Dam(VERB,2)
aDarAt	2	dcs:aDarAd~aDara(ADJ,2);dcs:aDarAt~aDara(ADJ,1)
aDara	9	dcs:aDarA~aDara(NOUN,7);dcs:aDarAH~aDara(ADJ,5);dcs:aDarAm~aDara(ADJ,2);dcs:aDarAn~aDara(NOUN,2);dcs:aDara~aDara(ADJ,67)
aDarma	1	dcs:aDarmataH~aDarmatas(ADV,1)
aDaspada	1	dcs:aDaspadam~aDaspada(NOUN,1)
aDi	3	dcs:Di~D(NOUN,1);dcs:aDI~aDI(NOUN,1);dcs:aDi~aDi(NOUN,6)
aDiDA	1	vidyut:aDiDatTa~aDidADA(verb,1)
aDicaMkramya	1	vidyut:aDicaNkramA~aDicaMkram(noun,8)
aDigam	2	dcs:aDigataM~aDigata(NOUN,1);dcs:aDigatam~aDigata(NOUN,1)
aDii	1	vidyut:aDyezyamARa~aDyezi(noun,2)
aDijan	1	vidyut:aDijajYe~aDijYA(verb,2)
aDika	2	dcs:aDikaM~aDika(NOUN,1);dcs:aDikam~aDika(NOUN,1)
aDirAj	1	dcs:aDirAjam~aDirAja(NOUN,1)
aDirUQA	2	vidyut:aDirUQe~aDirUQi(noun,2);vidyut:aDirUQe~aDiruh(noun,13)
aDiruh	1	dcs:aDiroha~aDiroha(NOUN,1)
aDiskand	2	vidyut:aDiskanda~aDiskandi(noun,8);vidyut:aDiskanda~aDiskand(verb,1)
aDivAsay	1	dcs:aDivAsita~aDivAsita(ADJ,1)
aDivid	1	dcs:aDivinnA~aDivinnA(NOUN,1)
aDizWA	2	dcs:DizWitaM~aDizWA(VERB,1);dcs:aDyasTAt~aDyasTa(NOUN,1)
aDizWAtf	2	dcs:aDizWAtA~aDizWAtf(NOUN,6);dcs:aDizWAtf~aDizWAtf(NOUN,10)
aDogati	1	dcs:aDogatim~aDogati(ADJ,2)
aDrigu	2	dcs:aDrigo~aDrigu(ADJ,3);dcs:aDriguM~aDrigu(ADJ,1)
aDvagA	1	vidyut:aDvagA~aDvaga(noun,2)
aDvan	1	dcs:Dvani~Dvani(NOUN,50)
aDvara	2	dcs:aDvaraM~aDvara(ADJ,1);dcs:aDvaram~aDvara(ADJ,1)
aDvaryu	1	vidyut:aDvaryos~aDvan(noun,2)
aDyAtma	3	dcs:aDyAtma~aDyAtma(ADJ,5);dcs:aDyAtmaM~aDyAtma(ADJ,6);dcs:aDyAtmam~aDyAtma(ADJ,46)
aDyAya	2	dcs:aDyAyaH~DyA(VERB,1);dcs:aDyAyaM~DyA(VERB,1)
aDyUh	1	dcs:aDyUQa~aDyUQa(NOUN,1)
aDyakza	1	dcs:aDyakzam~aDyakza(ADJ,3)
aDyas	1	vidyut:aDyasyate~aDyas(verb,2)
aDyavasAya	1	dcs:aDyavasAya~aDyavaso(VERB,10)
aDyavaso	1	dcs:aDyavasyati~Bagavat(ADJ,1)
aGa	7	dcs:aGA~aGa(NOUN,2);dcs:aGAya~aGa(NOUN,2);dcs:aGa~aGa(ADJ,50);dcs:aGaM~aGa(ADJ,4);dcs:aGam~aGa(ADJ,4)
aGora	3	dcs:aGorA~aGorA(NOUN,4);dcs:aGora~aGora(ADJ,20);dcs:aGoreRa~aGora(ADJ,5)
aKarva	1	vidyut:aKarvam~Karv(verb,1)
aKila	1	dcs:Kile~Kila(NOUN,4)
aKilena	1	dcs:aKilena~aKila(ADJ,5)
aMSumant	2	dcs:aMSumAn~aMSumat(ADJ,4);dcs:aMSumat~aMSumat(ADJ,1)
aMSumat	1	dcs:aMSumatyAH~aMSumatI(NOUN,1)
aMSumatI	2	dcs:aMSumatI~aMSumat(ADJ,1);dcs:aMSumatIm~aMSumat(ADJ,1)
aMhUraRa	1	dcs:aMhUraRA~aMhUraRa(NOUN,1)
aMhatI	3	vidyut:aMhati~aMhati(noun,3);vidyut:aMhati~aMh(verb,1);vidyut:aMhati~aMh(noun,2)
aNga	7	dcs:aNgA~aNga(NOUN,25);dcs:aNgAH~aNga(ADJ,21);dcs:aNgAnAm~aNga(ADJ,2);dcs:aNga~aNga(PART,166);dcs:aNgam~aNga(ADJ,3)
aNgi	3	vidyut:aNgin~aNg(noun,2);vidyut:aNgya~aYj(noun,4);vidyut:aNgya~aNg(noun,2)
aNgiras	1	dcs:aNgirasa~aNgirasa(NOUN,2)
aNgurI	1	vidyut:aNguri~aNguri(noun,3)
aPalA	1	vidyut:aPalAm~aPala(noun,2)
aRqaja	1	dcs:aRqaja~aRqaja(ADJ,2)
aRu	3	dcs:aRor~aRu(ADJ,5);dcs:aRu~aRu(NOUN,42);dcs:aRuH~aRu(ADJ,12)
aS	3	dcs:ASa~ASa(NOUN,2);vidyut:aSAt~SAs(verb,2);vidyut:aSAt~So(verb,1)
aSAsya	2	vidyut:aSAsyam~SE(verb,1);vidyut:aSAsyam~So(verb,1)
aSakti	1	dcs:aSaktiH~aSakti(ADJ,1)
aSanA	1	dcs:aSanA~aSana(NOUN,6)
aSani	1	dcs:aSanI~aSanin(ADJ,1)
aSanin	1	vidyut:aSaninAm~aSanI(noun,1)
aSarIra	1	dcs:aSarIra~aSarIra(NOUN,3)
aSeza	3	dcs:aSeza~aSeza(NOUN,54);dcs:aSezaH~aSeza(NOUN,1);dcs:aSezam~aSeza(NOUN,2)
aSezatA	2	vidyut:aSezata~Si(verb,2);vidyut:aSezata~Siz(verb,2)
aSezatas	1	dcs:aSezataH~aSeza(NOUN,5)
aSezeRa	1	dcs:aSezeRa~aSeza(NOUN,19)
aSiva	2	dcs:aSiva~aSiva(NOUN,1);dcs:aSivam~aSiva(NOUN,3)
aSlIla	1	dcs:aSlIla~aSlIla(NOUN,4)
aSna	1	dcs:aSnaH~aSan(NOUN,1)
aSoka	3	dcs:aSokAH~aSoka(ADJ,5);dcs:aSokAn~aSoka(ADJ,2);dcs:aSokaH~aSoka(ADJ,4)
aSrAta	1	vidyut:aSrAtam~SrA(verb,2)
aSraddaDat	1	dcs:aSraddaDat~SradDA(VERB,1)
aSrama	1	vidyut:aSrameRa~aSrameRa(ind,1)
aSreyas	1	dcs:aSreyas~aSreyas(NOUN,1)
aSruta	2	vidyut:aSrute~aSrutA(noun,14);vidyut:aSrute~aSruti(noun,2)
aSuBa	6	dcs:aSuBAni~aSuBa(NOUN,1);dcs:aSuBa~aSuBa(NOUN,14);dcs:aSuBaH~aSuBa(NOUN,1);dcs:aSuBaM~aSuBa(NOUN,5);dcs:aSuBam~aSuBa(NOUN,14)
aSvArohA	1	vidyut:aSvAroha~aSvAroha(noun,2)
aSvAroha	1	vidyut:aSvArohAn~aSvArohA(noun,1)
aSvadA	1	vidyut:aSvadA~aSvada(noun,1)
aSvada	1	vidyut:aSvada~aSvadA(noun,1)
aSvahfdayA	1	vidyut:aSvahfdaya~aSvahfdaya(noun,2)
aSvikA	1	vidyut:aSvika~aSvika(noun,2)
aSvin	1	dcs:aSvI~aSvin(NOUN,3)
aSvya	4	dcs:aSvyA~aSvya(NOUN,1);dcs:aSvyaH~aSvya(NOUN,1);dcs:aSvyam~aSvya(ADJ,5);dcs:aSvyasya~aSvya(ADJ,1)
aTa	2	dcs:Ta~Ta(NOUN,5);dcs:aTa~aTa(NOUN,1)
aTarvANgiras	1	vidyut:aTarvANgirasA~aTarvANgirasa(noun,3)
aTarvan	1	dcs:aTarvaRa~aTarvaRa(NOUN,2)
aYc	16	vidyut:aNkta~aYj(verb,1);vidyut:acA~ac(noun,4);vidyut:ag~ak(noun,7);vidyut:ag~ag(noun,7);vidyut:ag~ac(noun,7)
aYci	1	vidyut:aYcitAByAm~aYc(noun,27)
aYj	2	dcs:aktA~aktA(NOUN,1);dcs:anajmi~tad(PRON,1)
aYjalikA	1	vidyut:aYjalika~aYjalika(noun,2)
aYjas	1	dcs:aYjas~aYjas(ADV,4)
aYji	4	dcs:aYjayaH~aYji(ADJ,2);dcs:aYji~aYji(ADJ,1);dcs:aYjiBiH~aYji(ADJ,3);vidyut:aYjayantIm~aYj(noun,1)
abIja	1	dcs:abIja~abIja(NOUN,1)
abalA	1	dcs:abalA~abala(ADJ,11)
abala	6	dcs:abalAH~abalA(NOUN,8);dcs:abalAnAm~abalA(NOUN,1);dcs:abala~abala(NOUN,8);dcs:abalam~abala(ADJ,8);dcs:abale~abala(ADJ,6)
abja	2	dcs:abjA~abja(ADJ,1);dcs:abja~abja(ADJ,1)
abudDi	1	dcs:abudDi~abudDi(NOUN,9)
abudDipUrva	1	vidyut:abudDipUrvam~abudDipUrvam(ind,1)
ac	1	vidyut:acetam~cit(verb,1)
acCA	1	dcs:acCA~acCa(ADJ,4)
acCa	1	dcs:acCa~acCA(ADP,71)
acala	9	dcs:acalA~acala(NOUN,7);dcs:acalAH~acala(ADJ,1);dcs:acalAm~acala(NOUN,1);dcs:acalAn~acala(ADJ,6);dcs:acala~acala(ADJ,22)
acara	2	dcs:acara~car(VERB,1);dcs:acaram~car(VERB,1)
acetana	1	dcs:acetanA~acetanA(NOUN,2)
acetas	1	vidyut:acetas~cit(verb,1)
acintayat	1	dcs:acintayan~cintay(VERB,7)
acintya	3	dcs:acintyAya~acintya(NOUN,1);dcs:acintya~acintya(NOUN,1);dcs:acintyam~acintya(NOUN,1)
acirAt	2	dcs:acirAd~acira(ADJ,8);dcs:acirAt~acira(ADJ,27)
acireRa	1	dcs:acireRa~acira(ADJ,52)
acit	1	dcs:acit~acit(ADJ,1)
acitra	1	vidyut:acitre~ac(noun,2)
acyuta	6	dcs:acyutAH~acyuta(NOUN,2);dcs:acyuta~acyuta(ADJ,42);dcs:acyutaH~acyuta(ADJ,36);dcs:acyutaM~acyuta(NOUN,6);dcs:acyutam~acyuta(NOUN,61)
ad	7	dcs:Adad~AdA(VERB,2);dcs:adAma~dA(VERB,2);dcs:adyAt~adya(NOUN,2);dcs:adyam~adya(NOUN,3);dcs:atti~atti(NOUN,1)
adABya	4	dcs:adABya~adABya(NOUN,2);dcs:adAByaH~adABya(NOUN,3);dcs:adAByam~adABya(NOUN,1);dcs:adAByasya~adABya(NOUN,1)
adButa	4	dcs:adButAni~adButa(NOUN,17);dcs:adButa~adButa(NOUN,45);dcs:adButaM~adButa(NOUN,14);dcs:adButam~adButa(NOUN,168)
adButopamA	1	vidyut:adButopama~adButopama(noun,2)
adUra	3	dcs:adUrAt~adUra(NOUN,2);dcs:adUrataH~adUra(NOUN,4);dcs:adUre~adUra(ADJ,3)
adabDAsu	1	vidyut:adabDAsu~adabDa(noun,1)
adadat	1	dcs:adadad~dA(VERB,3)
adarSana	2	dcs:adarSana~adarSana(ADJ,2);dcs:adarSanam~adarSana(ADJ,1)
adarSayat	1	dcs:adarSayan~darSay(VERB,6)
adas	5	dcs:adaH~ad(ADJ,52);dcs:ado~ad(NOUN,2);dcs:amuyA~amuyA(ADV,9);dcs:asAv~asi(NOUN,1);dcs:mI~mI(NOUN,1)
adattA	1	vidyut:adattA~adatta(noun,2)
adeva	6	dcs:adevIH~dIv(VERB,1);dcs:adeva~adeva(ADJ,1);dcs:adevaH~adeva(NOUN,1);dcs:adevasya~adeva(NOUN,1);dcs:adevo~adeva(ADJ,1)
adfSyatA	1	dcs:adfSyatAm~dfS(VERB,1)
adfzwa	4	dcs:adfzwa~adfzwa(NOUN,28);dcs:adfzwam~adfzwa(NOUN,9);dcs:adfzwasya~adfzwa(NOUN,1);dcs:adfzwe~adfzwa(NOUN,3)
aditi	1	dcs:aditi~aditi(ADJ,2)
aditsat	2	vidyut:aditsat~ditsi(verb,4);vidyut:aditsat~ditsa(verb,3)
adoza	1	dcs:adoza~adoza(ADJ,5)
adruh	1	dcs:adruhaH~druh(VERB,1)
adveza	1	vidyut:advezas~advezas(ind,1)
adya	3	dcs:adyA~ad(VERB,1);dcs:adya~ad(VERB,1);dcs:dya~ad(VERB,2)
ag	1	vidyut:Agam~ag(verb,1)
agADa	1	dcs:agADe~agADa(NOUN,1)
agada	6	dcs:agada~agada(ADJ,1);dcs:agadaM~agada(ADJ,5);dcs:agadam~agada(ADJ,4);dcs:agadasya~agada(NOUN,1);dcs:agado~agada(NOUN,6)
agama	1	dcs:agama~agama(ADJ,1)
agamyA	1	dcs:agamyA~agamya(ADJ,6)
agastI	2	vidyut:agastyA~agasti(noun,1);vidyut:agastyA~agastya(noun,1)
agatAsu	1	vidyut:agatAsu~agata(noun,2)
agati	1	dcs:agati~agati(NOUN,1)
agniSAlA	2	vidyut:agniSAlA~agniSAla(noun,1);vidyut:agniSAla~agniSAla(noun,2)
agniSiKa	1	vidyut:agniSiKAm~agniSiKA(noun,2)
agnijA	1	vidyut:agnijA~agnija(noun,2)
agnija	1	dcs:agnijam~agnija(NOUN,1)
agnijihvA	1	vidyut:agnijihva~agnijihva(noun,2)
agnijvAlA	1	vidyut:agnijvAla~agnijvAla(noun,2)
agnitap	1	vidyut:agnitapas~agnitapas(noun,5)
agrU	1	vidyut:agru~agru(noun,3)
agra	5	dcs:agrA~agra(ADJ,4);dcs:agra~agra(ADJ,8);dcs:agraM~agra(ADJ,1);dcs:agram~agra(ADJ,4);dcs:agre~agre(ADV,174)
agratas	3	dcs:agrataH~agra(NOUN,7);dcs:agrato~agra(NOUN,1);dcs:grataH~agra(NOUN,1)
agreRa	1	dcs:agreRa~agra(NOUN,150)
agrega	1	vidyut:agrega~agregA(noun,1)
agriya	2	dcs:agriyaH~agriya(NOUN,1);dcs:agriyam~agriya(NOUN,2)
agru	1	dcs:agruvaH~agrU(NOUN,3)
agrya	2	dcs:agryA~agryA(NOUN,1);dcs:agryAm~agryA(NOUN,1)
agu	1	vidyut:agu~ago(noun,3)
aguru	1	dcs:aguru~aguru(ADJ,6)
ah	2	dcs:Aha~karman(NOUN,1);dcs:Ahus~Baga(NOUN,1)
ahApayat	1	dcs:ahApayan~hApay(VERB,2)
ahArya	1	dcs:ahArya~ahArya(NOUN,1)
ahI	1	dcs:ahyaM~hi(VERB,1)
aha	1	dcs:aha~aha(NOUN,99)
ahar	1	dcs:hann~han(VERB,6)
aharza	1	vidyut:aharzam~hfz(verb,1)
ahata	4	dcs:ahata~ahata(NOUN,1);dcs:ahataM~han(VERB,2);dcs:ahatam~han(VERB,1);vidyut:ahatAm~han(verb,1)
ahiMsra	1	vidyut:ahiMsra~ahiMsrA(noun,3)
ahima	2	vidyut:ahimAyAm~ahimAya(noun,1);vidyut:ahimAya~ahimAya(noun,2)
ahita	4	dcs:ahita~ahita(NOUN,2);dcs:ahitaM~ahita(NOUN,2);dcs:ahitam~ahita(NOUN,4);dcs:ahite~ahita(NOUN,5)
aho	1	dcs:aho~ahar(NOUN,13)
ahri	1	dcs:ahrayaH~ahraya(ADJ,2)
aj	3	dcs:AjaH~Aja(ADJ,1);dcs:Ajat~Aj(VERB,2);vidyut:ajyamAna~aYj(noun,2)
ajAmi	1	dcs:ajAmi~ajAmi(NOUN,4)
ajAni	1	vidyut:ajAnaye~jAni(verb,1)
ajIrRa	3	dcs:ajIrRa~ajIrRa(ADJ,42);dcs:ajIrRam~ajIrRa(ADJ,11);dcs:ajIrRe~ajIrRa(ADJ,15)
ajYAna	2	dcs:ajYAnAn~ajYAna(ADJ,1);dcs:ajYAnAt~ajYAna(ADJ,1)
aja	7	dcs:ajAH~ajA(NOUN,5);dcs:aja~aja(ADJ,10);dcs:ajaH~aja(ADJ,15);dcs:ajaM~aja(ADJ,10);dcs:ajam~aja(ADJ,17)
ajakA	1	vidyut:ajaka~ajaka(noun,2)
ajani	1	vidyut:ajanI~aj(noun,1)
ajapA	1	vidyut:ajapa~ajapa(noun,2)
ajaqa	1	dcs:ajaqa~ajaqa(NOUN,1)
ajara	3	dcs:ajarA~ajarA(NOUN,6);dcs:ajara~ajara(NOUN,1);dcs:ajaraH~ajara(NOUN,3)
ajasram	1	dcs:ajasram~ajasra(ADJ,21)
ajaya	2	dcs:ajaya~ji(VERB,1);dcs:ajayam~ji(VERB,1)
ajeya	2	dcs:ajeya~ajeya(NOUN,1);dcs:ajeyam~ajeya(NOUN,1)
ajira	3	dcs:ajirA~ajira(NOUN,1);dcs:ajira~ajira(ADJ,6);dcs:ajiram~ajira(ADJ,5)
ajita	4	dcs:ajitA~ajitA(NOUN,2);dcs:ajita~ajita(NOUN,29);dcs:ajitaM~ajita(NOUN,1);dcs:ajitam~ajita(NOUN,1)
akAla	1	dcs:akAla~akAla(ADJ,1)
akAlikam	1	dcs:akAlikam~akAlika(ADJ,1)
akAraRa	1	dcs:akAraRam~akAraRa(NOUN,18)
akArya	4	dcs:akAryARi~akArya(ADJ,1);dcs:akArya~akArya(ADJ,3);dcs:akAryaM~akArya(ADJ,6);dcs:akAryam~akArya(ADJ,8)
akUpAra	1	dcs:akUpAra~akUpAra(ADJ,1)
akalmaza	1	dcs:akalmazaH~akalmaza(NOUN,1)
akaluza	1	dcs:akaluza~akaluza(NOUN,1)
akarizyat	2	vidyut:akarizyat~kF(verb,3);vidyut:akarizyat~kf(verb,2)
akarman	1	dcs:akarmaRaH~akarman(ADJ,3)
akasmAt	1	dcs:akasmAt~akasmAt(NOUN,1)
akfta	2	dcs:akfta~kf(VERB,29);dcs:akftam~kf(VERB,1)
akiYcana	1	dcs:akiYcana~akiYcana(NOUN,2)
